Student_ID,First_Name,Last_Name,Email,Major,Title,Number_of_Skills,Salary,Salary_Range,GPA,GPA_Range,Graduated,Algorithm Development,Creativity,AI Ethics and Governance,API Development,Curiosity,Project Management,Business Acumen,Communication,AI Frameworks and Libraries,IoT Integration,Cloud Computing,Programming Languages,Big Data Technologies,Ethical Considerations,Data Analysis,Computer Vision,Software Engineering Principles,Market Analysis,Adaptability,Data Visualization,Edge Computing,Natural Language Processing (NLP),Problem-Solving,Robotics,Database Management,Data Engineering,Model Training and Evaluation,ETL Processes,Deep Learning,DevOps,Presentation Skills,Collaboration,Machine Learning Algorithms,Leadership,Critical Thinking,Data Preprocessing,Data-Driven Decision Making,Attention to Detail,Programming
158459259,Valerie,Torres,Valerie.Torres000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,32,30000,High,3.92,High,FALSE,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
604703214,Sierra,Benson,Sierra.Benson000@mymdc.net,Data Analytics,Data Analyst,24,30000,High,3.45,Medium,FALSE,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0
771636322,Joan,Giles,Joan.Giles000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,28,97219,High,2.88,Low,TRUE,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1
858586343,Jeremy,Pineda,Jeremy.Pineda000@mymdc.net,Data Analytics,Data Analyst,32,91146,High,2.52,Low,TRUE,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1
933852453,Adam,Nguyen,Adam.Nguyen000@mymdc.net,Applied Artificial Intelligence,AI Engineer,17,30000,High,2.15,Very Low,FALSE,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0
281239807,David,Garcia,David.Garcia000@mymdc.net,Applied Artificial Intelligence,Computer Vision Engineer,20,105921,High,3.14,Medium,TRUE,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0
163309674,Robert,Moreno,Robert.Moreno000@mymdc.net,Data Analytics,Data Analyst,27,30000,High,2.27,Very Low,FALSE,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1
728292772,Jesse,Davis,Jesse.Davis000@mymdc.net,Applied Artificial Intelligence,Machine Learning Engineer,35,30000,High,3.26,Medium,FALSE,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
340813184,Amanda,King,Amanda.King000@mymdc.net,Applied Artificial Intelligence,Machine Learning Engineer,10,30000,High,3.15,Medium,FALSE,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
610899964,Phillip,Williams,Phillip.Williams000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,7,30000,High,3.7,High,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
851568296,Donna,Cantu,Donna.Cantu000@mymdc.net,Applied Artificial Intelligence,AI Engineer,26,30000,High,2.18,Very Low,FALSE,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1
191974018,Keith,Patterson,Keith.Patterson000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,28,30000,High,3.14,Medium,FALSE,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1
949228777,James,Stokes,James.Stokes000@mymdc.net,Applied Artificial Intelligence,Computer Vision Engineer,1,30000,High,2.66,Low,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218175719,Hayden,Holt,Hayden.Holt000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,7,30000,High,2.56,Low,FALSE,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
196603982,Heather,Parks,Heather.Parks000@mymdc.net,Data Analytics,Data Scientist,38,30000,High,2.01,Very Low,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
772469360,John,Thornton,John.Thornton000@mymdc.net,Applied Artificial Intelligence,Computer Vision Engineer,23,30000,High,2.03,Very Low,FALSE,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0
368375367,Tommy,Cochran,Tommy.Cochran000@mymdc.net,Data Analytics,Operations Analyst,4,65057,Medium,3.19,Medium,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
715296722,William,Franklin,William.Franklin000@mymdc.net,Data Analytics,Data Scientist,17,72985,Medium,2.2,Very Low,TRUE,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0
324234559,John,Pruitt,John.Pruitt000@mymdc.net,Data Analytics,Data Analyst,26,30000,High,2.66,Low,FALSE,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1
284164156,Melanie,Williams,Melanie.Williams000@mymdc.net,Data Analytics,Business Intelligence Analyst,11,30000,High,3.1,Medium,FALSE,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
249261701,Melissa,Walker,Melissa.Walker000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,5,96118,High,2.45,Very Low,TRUE,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
914543261,Michael,Haynes,Michael.Haynes000@mymdc.net,Data Analytics,Data Analyst,34,82397,High,3.17,Medium,TRUE,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
463988610,Karla,Watkins,Karla.Watkins000@mymdc.net,Data Analytics,Operations Analyst,17,30000,High,2.21,Very Low,FALSE,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0
602438251,Robert,Poole,Robert.Poole000@mymdc.net,Applied Artificial Intelligence,Computer Vision Engineer,19,30000,High,3.14,Medium,FALSE,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0
851656260,Jennifer,Gonzalez,Jennifer.Gonzalez000@mymdc.net,Data Analytics,Business Intelligence Analyst,13,78449,Medium,3.06,Medium,TRUE,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1
333665060,Kristina,Davis,Kristina.Davis000@mymdc.net,Applied Artificial Intelligence,AI Engineer,11,30000,High,3.25,Medium,FALSE,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
116305219,Lisa,Jackson,Lisa.Jackson000@mymdc.net,Applied Artificial Intelligence,Computer Vision Engineer,12,30000,High,2.26,Very Low,FALSE,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
255417587,Steven,Cruz,Steven.Cruz000@mymdc.net,Applied Artificial Intelligence,AI Engineer,5,30000,High,3.16,Medium,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
271127023,Seth,Lane,Seth.Lane000@mymdc.net,Applied Artificial Intelligence,Machine Learning Engineer,11,83592,High,3.33,Medium,TRUE,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
388494465,Raymond,Campbell,Raymond.Campbell000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,25,30000,High,2.71,Low,FALSE,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0
343217939,Stacey,Jordan,Stacey.Jordan000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,18,106518,High,3.69,High,TRUE,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0
145182458,George,Ayers,George.Ayers000@mymdc.net,Data Analytics,Marketing Analyst,30,30000,High,3.16,Medium,FALSE,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1
764912097,Nina,Miller,Nina.Miller000@mymdc.net,Data Analytics,Marketing Analyst,26,30000,High,2.98,Low,FALSE,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0
725137164,Shelly,Thompson,Shelly.Thompson000@mymdc.net,Data Analytics,Marketing Analyst,36,30000,High,3.85,High,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
394921359,Robert,Williamson,Robert.Williamson000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,3,100794,High,3.16,Medium,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
308891787,Alexandra,Hensley,Alexandra.Hensley000@mymdc.net,Data Analytics,Operations Analyst,3,30000,High,2.13,Very Low,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
916652613,Alexis,Gould,Alexis.Gould000@mymdc.net,Data Analytics,Data Analyst,13,30000,High,2.6,Low,FALSE,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0
804625093,Jose,Meyer,Jose.Meyer000@mymdc.net,Applied Artificial Intelligence,AI Engineer,38,81489,High,2.76,Low,TRUE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
242916272,Eugene,Smith,Eugene.Smith000@mymdc.net,Applied Artificial Intelligence,Machine Learning Engineer,2,30000,High,2.51,Low,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
472774484,Christopher,Mckenzie,Christopher.Mckenzie000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,27,30000,High,2.87,Low,FALSE,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
636497706,Melissa,Acevedo,Melissa.Acevedo000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,26,30000,High,3.08,Medium,FALSE,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1
429856826,Lindsey,Hensley,Lindsey.Hensley000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,10,30000,High,3.5,Medium,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0
977537992,Adam,Evans,Adam.Evans000@mymdc.net,Applied Artificial Intelligence,Computer Vision Engineer,10,30000,High,2.93,Low,FALSE,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
241929186,Jamie,Smith,Jamie.Smith000@mymdc.net,Data Analytics,Operations Analyst,34,76405,Medium,3.21,Medium,TRUE,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107961088,David,Murray,David.Murray000@mymdc.net,Applied Artificial Intelligence,AI Engineer,24,30000,High,2.88,Low,FALSE,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1
192623239,Suzanne,James,Suzanne.James000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,37,30000,High,3.99,High,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
449724178,Sean,Pena,Sean.Pena000@mymdc.net,Data Analytics,Data Scientist,23,72385,Medium,3.36,Medium,TRUE,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
311289431,Robert,Vang,Robert.Vang000@mymdc.net,Applied Artificial Intelligence,Computer Vision Engineer,28,30000,High,2.81,Low,FALSE,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0
460515834,Dalton,Cooper,Dalton.Cooper000@mymdc.net,Data Analytics,Marketing Analyst,33,30000,High,2.6,Low,FALSE,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1
539493839,Mckenzie,Smith,Mckenzie.Smith000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,25,30000,High,3.29,Medium,FALSE,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0
556991518,Nicole,Chavez,Nicole.Chavez000@mymdc.net,Applied Artificial Intelligence,AI Engineer,28,30000,High,2.39,Very Low,FALSE,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1
614655497,Laura,Bryant,Laura.Bryant000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,1,100009,High,2.11,Very Low,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335975394,Hunter,Smith,Hunter.Smith000@mymdc.net,Data Analytics,Data Analyst,29,30000,High,2.21,Very Low,FALSE,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0
344897786,Jennifer,Nicholson,Jennifer.Nicholson000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,8,30000,High,3.83,High,FALSE,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500379145,Tanya,Martin,Tanya.Martin000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,12,30000,High,2.46,Very Low,FALSE,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
460858762,Shaun,Garcia,Shaun.Garcia000@mymdc.net,Data Analytics,Operations Analyst,35,30000,High,2.27,Very Low,FALSE,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
183275707,Thomas,Reynolds,Thomas.Reynolds000@mymdc.net,Applied Artificial Intelligence,Computer Vision Engineer,15,98372,High,3.59,High,TRUE,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0
121255549,Emily,Kent,Emily.Kent000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,37,30000,High,2.65,Low,FALSE,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
605653599,Vicki,Mcdaniel,Vicki.Mcdaniel000@mymdc.net,Applied Artificial Intelligence,AI Engineer,24,30000,High,3.27,Medium,FALSE,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1
455973091,Angela,Wallace,Angela.Wallace000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,21,30000,High,2.58,Low,FALSE,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1
824543885,Keith,Smith,Keith.Smith000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,12,30000,High,2.53,Low,FALSE,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
977986567,Richard,Hutchinson,Richard.Hutchinson000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,1,30000,High,3.47,Medium,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361243983,Justin,Sanchez,Justin.Sanchez000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,9,109097,High,2.86,Low,TRUE,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
572802724,Willie,Kane,Willie.Kane000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,17,30000,High,2.41,Very Low,FALSE,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0
227709553,Christopher,Nunez,Christopher.Nunez000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,8,30000,High,3.28,Medium,FALSE,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
351907553,Dana,Huang,Dana.Huang000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,36,30000,High,2.99,Low,FALSE,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
414281393,Jose,Moore,Jose.Moore000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,26,30000,High,3.86,High,FALSE,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0
723171069,Teresa,Mcbride,Teresa.Mcbride000@mymdc.net,Applied Artificial Intelligence,AI Engineer,18,109043,High,2.68,Low,TRUE,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0
779539531,Michael,Oneal,Michael.Oneal000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,9,109421,High,3.5,Medium,TRUE,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
637612372,Ian,Rowe,Ian.Rowe000@mymdc.net,Applied Artificial Intelligence,Computer Vision Engineer,9,30000,High,2.69,Low,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1
309907534,Shelby,Koch,Shelby.Koch000@mymdc.net,Data Analytics,Business Intelligence Analyst,1,30000,High,3.15,Medium,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505522743,Mark,Garrett,Mark.Garrett000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,33,30000,High,2.95,Low,FALSE,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
613996547,Steven,Johnson,Steven.Johnson000@mymdc.net,Applied Artificial Intelligence,Computer Vision Engineer,23,30000,High,3.54,High,FALSE,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0
972885809,Kelsey,Myers,Kelsey.Myers000@mymdc.net,Applied Artificial Intelligence,AI Engineer,30,30000,High,2.11,Very Low,FALSE,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
845196021,Holly,Diaz,Holly.Diaz000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,29,30000,High,3.93,High,FALSE,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1
328628508,Manuel,Aguilar,Manuel.Aguilar000@mymdc.net,Data Analytics,Data Analyst,30,30000,High,2.96,Low,FALSE,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0
635287200,Heather,Acevedo,Heather.Acevedo000@mymdc.net,Applied Artificial Intelligence,Machine Learning Engineer,38,30000,High,2.52,Low,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
782523495,Christina,Fields,Christina.Fields000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,14,30000,High,2.85,Low,FALSE,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0
925978663,Colton,Pratt,Colton.Pratt000@mymdc.net,Data Analytics,Operations Analyst,30,75223,Medium,2.93,Low,TRUE,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
